,Title,Plot,genre
351,Mirage,Matteo Juarez is a retired detective hired by a local businessman to follow his wife Jennifer. She has a split personality and seems to be putting herself in danger without knowing it.,Action
352,Highlander: The Final Dimension,"The third Highlander movie takes place at 1994, which means it's a prequel of the second film. After the death of his beloved wife Heather some centuries ago, Connor MacLeod left the highlands of Scotland and wandered around the world. Finally, he got to Japan, where he met the famous sorcerer Nakano, who was an Immortal too. Soon, they became friends, and Nakano taught Conor some tricks. But one day, an old enemy, Kane, came to Japan willing to find Nakano's cave and kill him. Although he succeeded, after cutting Nakano's head the mountain collapsed and Kane was trapped. Now, centuries after, an excavation reveals Nakano's cave...",Action
356,Addams Family Values,A comical Gothic horror-movie-type family tries to rescue their beloved uncle from his gold-digging new love.,Comedy
358,Airheads,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head DJ refuses to play them.,Comedy
359,The Air Up There,"Jimmy Dolan is a college basketball coach who wants a big promotion. To get it, he needs to make a dramatic find. He ends up deep in Africa, hoping to recruit Saleh, a huge basketball prodigy Jimmy glimpsed in a home movie. But Saleh is the chief's son and has responsibilities at home, since the tribe's land is threatened by a mining company with its own hotshot basketball team.",Comedy
360,Another Stakeout,"Chris and Bill are called upon for their excellent surveillance record to stakeout a lakeside home where a Mafia trial witness is believed to be heading or already hiding. Unlike their earlier _Stakeout_, this time they are accompanied by Gina Garret from the DA's office and her pet rottweiler 'Archie'; their cover, husband and wife with son Bill.",Action
362,Barcelona,"Ted, a stuffy white guy from Illinois working in sales for the Barcelona office of a US corporation, is paid an unexpected visit by his somewhat less stuffy cousin Fred, who is an officer in the US Navy. Over the next few months, both their lives are irrevocably altered by the events which follow Fred's arrival, events which are the trivial stuff of a comedy of manners at first but which gradually grow increasingly dramatic.",Comedy
363,Being Human,"Five bittersweet vignettes that span the entire human history about five different men, all called Hector and played by the same actor (Robin Williams), who find themselves at a critical juncture in their lives. In prehistoric times, Hector lives in peace with his wife and their little son and daughter in a cave on a quite uninhabited island somewhere in the north. His world is shattered when a group of foreign pagan raiders led by a young chieftain and a somewhat pacifistic priest arrive there. In Ancient Rome, Hector is a loyal well-treated slave of Lucinnius, a somewhat naive big trader with political connections. When his latest shipment fails to arrive and the local corrupt governor Cyprion refuses to lend him money for his further endeavors due to bad omen that a professional soothsayer saw while reading the future from a chicken liver, he is ruined. To make things worse, just as Hector plans to ask his master for freedom and elope with his master's female African slave Thalia, Lucinnius informs him that they've been chosen to be scapegoats and must kill themselves under the governor's orders. In medieval times, Hector is a Scotsman who's traveling with a somewhat zealotic but friendly and well-intentioned priest on a mission of mercy to help the fallen crusaders, mortally wounded in the bloody skirmishes, make it to the other side in peace. Beatrice, a nice beautiful flirtatious Italian widow, is traveling part of the way with them as well. Hector is tired of death and carnage and wants to go home but when he and Beatrice connect despite not speaking each-others languages, he falls for her. The priest warns him that he can't handle her needs but Hector doesn't take his friendly warning seriously and eventually leaves with her. However, he soon realizes that the priest was referring to responsibilities of a complicated family life. During the Renaissance, a group of Portuguese nobleman and their servants and soldiers gets shipwrecked somewhere on the coast of Africa. They make an encampment at the beach and try to find some Africans to ask for help but they also try to uphold their strict old ways of life at their beach camp. The realities of the life and death situation they're in kick in quickly and things go wrong for most of them. Hector is one of the lower nobleman, who tries to reconnect with his lover, who wants nothing to do with him. However, Hector's misfortune turns out to be his blessing this time, if only temporarily. In present day New York, Hector is about to pick up his young daughter and little son he hasn't seen in years from his ex wife and her new husband and take them to a seaside bungalow where they can reconnect again. However, his day turns into a quagmire. First he gets blamed by the police for a bizarre accident that almost kills one of the tenants in a building owned by his somewhat sleazy partner Boris. Then Hector borrows the flower delivery car from his nice girlfriend Anna to get the kids but forgets to deliver the flowers which Anna's client ordered for a celebration. His kids don't make things much easier for him either. He decides to treat them like adults for a change and they have a redeeming serious talk about their uneasy relationship.",Comedy
364,The Beverly Hillbillies,"A feature adaptation of the classic TV show, when nice guy redneck Jed Clampett strikes it rich when he finds black oil, and moves he and his kin to posh Beverly Hills.",Comedy
365,Beverly Hills Cop III,"In Detroit, Axel Foley leads a raid on a chop shop. When they go in, the people inside start shooting at them. Foley's boss, Inspector Todd, joins them. Someone shoots Todd and before dying Todd tells Foley to get him. Foley tries to catch him but some Feds stop him. They don't tell him why they're letting him get away. Based on things the shooters left behind, leads Foley to believe that the shooters have ties to an amusement park in Beverly Hills. So Foely goes there and asks his old friend, Billy Rosewood who's been promoted to a ""prestigious position"" for help. He meets Billy's new partner, Jon Flint. He asks if they know anyone at the amusement park and Flint tells him he knows the head of security, Ellis DeWald. Foley goes to the park and after a little misadventure, he meets DeWald and recognizes him as the man who killed Todd. But everybody including Flint tells Foley DeWald is a good guy. But Axel knows he's the one. He would be approached a park employee who tries to help him.",Action
368,Blown Away,Jimmy Dove works for the bomb squad in Boston and he is always the one who is on the tough jobs. One day he decides to quit the force and to become a teacher for the rookies of the squad. A few days later his former partner is killed by a bomb and Jimmy becomes suspicious that maybe this bomb could have been built by a former friend of himself. He begins to investigate and finds out that his worst nightmare has returned from his past.,Action
376,City Slickers II: The Legend of Curly's Gold,"The second part of City Slickers begins after the death of Curly. It is the 40th birthday of Mitch Robbins and the day begins quite good until he returns home (after a hard day at the radio station) and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil (from the first part) and unfortunately with Glen he tries to find the hidden gold of Curly's father in the desert of Arizona instead of attending a meeting in Las Vegas. The adventurous journey reveals many surprises until everything seems to be over when the map gets lost...",Comedy
377,Clean Slate,"Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient.",Comedy
378,Cliffhanger,"Whilst crossing a ledge, 4000 feet above the earth, Gabe's friend's equipment fails to work and she slips out of his hand, falling to the ground. Almost a year later, Gabe is asked to go back to the same mountain range and rescue a group of 'stranded' people. The only catch is that these so called 'stranded' people are in fact looking for three boxes filled with $100,000,000 and they need a mountain ranger to lead them to them!!",Action
379,Coneheads,"An alien couple known as Beldar and Prymatt with cone-shaped heads from the planet called Remulak is mistakingly ditched on earth, during a scouting mission for planet conquest. While here, they dodge the INS, have a child and discover that life on Earth is quite good. But unfortunately they are being chased by the government who knows something is not quite right with the Conehead family. After they are rescued and taken back to their planet, Belder vows to return to earth and conquer it!",Comedy
381,Cops and Robbersons,"When police discover that a mob hitman has moved in next door to the Robbersons, they want to find out what he is up to. So they set up a stakeout in the Robbersons' home. Hard-nosed, tough-as-nails Jake Stone is assigned to the stakeout. But now it's a question of whether Jake can last long enough to capture the bad guys. The Robbersons want to help so they are driving him crazy.",Comedy
382,The Cowboy Way,"Buddies Pepper Lewis (Woody Harrelson) and Sonny Gilstrap (Kiefer Sutherland) who are championship rodeo partners travel to New York to find their missing friend, Nacho Salazar Joaquín Martínez after he disappears in New York City to pick up his daughter, Theresa (Cara Buono). When Pepper and Sonny find that neither is anywhere to be found, they go about the wacky adventure of finding Nacho and Theresa, and in the process, test the foundation of their friendship. Along the way, they find themselves entwined in the inner workings of a New York sweat shop where Theresa has been enslaved after traveling to the U.S.A. from Cuba. Going about doing things in a cowboy way, Pepper and Sonny put their small town skills to the test in a big city kind of way and rescue Theresa from the thugs.",Action
384,Dave,"Bill Mitchell is the philandering and distant President of the United States. Dave Kovic is a sweet-natured and caring Temp Agency operator, who by a staggering coincidence looks exactly like the President. As such, when Mitchell wants to escape an official luncheon, the Secret Service hires Dave to stand in for him. Unfortunately, Mitchell suffers a severe stroke whilst having sex with one of his aides, and Dave finds himself stuck in the role indefinitely. The corrupt and manipulative Chief of Staff, Bob Alexander, plans to use Dave to elevate himself to the White House - but unfortunately, he doesn't count on Dave enjoying himself in office, using his luck to make the country a better place, and falling in love with the beautiful First Lady...",Comedy
385,Dazed and Confused,"It's the last day of school at a high school in a small town in Texas in 1976. The upperclassmen are hazing the incoming freshmen, and everyone is trying to get stoned, drunk, or laid, even the football players that signed a pledge not to.",Comedy
386,Demolition Man,"Frozen in 1996, Simon Phoenix, a convicted crime lord, is revived for a parole hearing well into the 21st century. Revived into a society free from crime, Phoenix resumes his murderous rampage, and no one can stop him. John Spartan, the police officer who captured Phoenix in 1996, has also been cryogenically frozen, this time for a crime he did not commit. In 2032, the former cities of Los Angeles, San Diego and Santa Barbara have merged into peaceful, utopian San Angeles. Unable to stop him with their non-violent solutions, the police release Spartan to help recapture Phoenix. Now after 36 years, Spartan has to adapt himself to the future society he has no knowledge about.",Action
388,Even Cowgirls Get the Blues,Sissy Hankshaw is born with enormous thumbs that help her hitchhiking through the US from a young age. She becomes a model in advertising and her NY agent 'the Countess' sends her to his ...,Comedy
389,Fatal Instinct,"A spoof of the late 80s and early 90s suspense thrillers and murder mysteries, including Basic Instinct, Sleeping With The Enemy, Cape Fear and others. A cop/attorney (yes he's both) is ...",Comedy
391,The Favor,"Kathy is married to Peter. Now she can't help but wonder how things could have been if she got together with her old boyfriend, Tom. Being married prevents from doing that so she asks her ...",Comedy
393,Fear of a Black Hat,"A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.",Comedy
394,With Honors,"Convinced his thesis will have him graduate with honors from Harvard University, a stuffy student finds himself at the mercy of a homeless man's demands when he holds the papers hostage.",Comedy
396,Widows' Peak,"Edwina has just moved into the neighborhood known as ""Widows' Peak,"" so called due to the prevalent marital status of the residents, who tend to be a rather exclusive bunch. The residents are all curious about their new neighbor, but no one can seem to get much information about her, including queen bee Mrs. DC, whose son is busy wooing Edwina. Miss O'Hare and Edwina have an immediate dislike for each other, however, and soon some accidental encounters begin to look like Edwina is trying to ruin her new rival. The problems escalate and the town is in an uproar, but they get no closer to solving the mystery of the newcomer.",Comedy
397,For Love or Money,"Doug is a young man who works all day as a concierge at a luxurious hotel, saving money to make his own business. Unfortunately, when he finds the financial supporter he needs, he discovers that his ""saviour"" is having an affair with the woman he loves! Now, he must choose between money and love...",Comedy
401,The Fugitive,"A well respected Chicago surgeon Dr. Richard Kimble has found out that his wife, Helen, has been murdered ferociously in her own home. The police found Kimble and accused him of the murder. Then, Kimble (without Justifiable Reason) was tried, convicted, and sentenced to death. However, on the way to prison, Kimble's transport crashed. Kimble escapes and is now on the run. Deputy Samuel Gerard from Chicago takes charge of the chase of Kimble. Meanwhile, Kimble takes up his own investigation to find who really killed his wife, and to lure Gerard and his team into it as well.",Action
403,The Getaway,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",Action
404,Getting Even with Dad,"Ray, an ex-con and widower, is planning a coin heist with two accomplices to help him to buy his own bakery. However, he doesn't expect his son Timmy, who was living with Ray's sister, to show up at the house right in the middle of planning. Timmy is ignored and Ray and his buddies pull off the heist. Timmy gets his father's attention by stealing the coins and hiding them. To get them back, his father must take him to a number of different places and treat him like he enjoys his presence. They grow fond of each other but Timmy won't stay with his dad unless he gives up the coins.",Comedy
407,Hard Target,"A woman hires a drifter as her guide through New Orleans in search of her father, who has gone missing. They discover a deadly game of cat and mouse behind his disappearance in the process.",Action
408,Heaven & Earth,"The final movie in Oliver Stone's Vietnam trilogy follows the true story of a Vietnamese village girl who survives a life of suffering and hardship during and after the Vietnam war. As a freedom fighter, a hustler, young mother, a sometime prostitute, and the wife of a US. marine, the girl's relationships with men suggests an analogy of Vietnam as Woman and the U.S. as Man.",Action
409,Hot Shots! Part Deux,"Topper Harley is found working as an odd-job-man in a monastery. The CIA wants him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm. The President is Tug Benson, who also likes to be in on the action. Basically, it's a send-up of all the big shoot-em-up Rambo/Robocop/T2/Commando-type movies.",Action
410,Live Nude Girls,"Georgina throws a sleepover party for her friend Jamie, a moderately successful actress, on the night of Jamie's fiancée's bachelor party. Jill, Jamie, Marcy, Rachel, and Georgina have been friends since childhood, and as the evening progresses they talk about a variety of topics: Georgina's heterosexual fantasies and her uncertainties about Chris, her live-in lover; Jamie's doubts and insecurities about marriage; and all of their attitudes toward sex and sexual fantasies.",Comedy
411,The Englishman Who Went Up a Hill But Came Down a Mountain,"When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that.",Comedy
413,House Party 3,"Come to a new House Party, where Kid, after a lifetime 'playing the field', falls in love and is about to get married. 'Play' plans to throw the rockin'est bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing 'Kid' and 'Play' what parties are all about...",Comedy
414,The Hudsucker Proxy,"When Waring Hudsucker, head of hugely successful Hudsucker Industries, commits suicide, his board of directors, led by Sidney Mussberger, comes up with a brilliant plan to make a lot of money: appoint a moron to run the company. When the stock falls low enough, Sidney and friends can buy it up for pennies on the dollar, take over the company, and restore its fortunes. They choose idealistic Norville Barnes, who just started in the mail room. Norville is whacky enough to drive any company to ruin, but soon, tough reporter Amy Archer smells a rat and begins an undercover investigation of Hudsucker Industries.",Comedy
415,I'll Do Anything,"Matt Hobbs is a talented but unsuccessful actor. When estranged (and strange) ex-wife Beth dumps their daughter Jeannie on Matt, father and daughter have a lot of adjusting to do. His budding relationship with attractive production assistant Cathy Breslow is made complicated, while the precocious child is overly accustomed to getting her own way. Matt eventually faces the choice of family vs career in a particularly difficult way.",Comedy
416,In the Army Now,Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.,Comedy
417,In the Line of Fire,"Frank Horrigan is a secret service agent who keeps thinking back to November 22, 1963, when, as a hand-picked agent by President Kennedy, he became one of the few agents to have lost a President to an assassin when Kennedy died. Now, former CIA assassin Mitch Leary is stalking the current President, who is running for re-election. Mitch has spent long hours studying Horrigan, and he taunts Horrigan, telling him of his plans to kill the President. Leary plans to kill the president because Leary feels betrayed by the government -- Leary was removed from the CIA, and the CIA is now trying to have him killed. After talking to Leary, Horrigan makes sure he is assigned to presidential protection duty, working with fellow secret service agent Lilly Raines. Horrigan has no intention of failing his President this time around, and he's more than willing to take a bullet. White House Chief of Staff Harry Sargent refuses to alter the President's itinerary, while Horrigan's boss, Secret Service Director Sam Campagna, is supportive of Horrigan. As the election gets closer, Horrigan begins to doubt his own abilities, especially when Horrigan's colleague Al D'Andrea is killed by Leary. But Horrigan may be the only one who can stop Leary.",Action
421,Judgment Night,"Four pals are on their way to a boxing match, but get stuck in heavy traffic. To get to the boxing match in time they take the first exit they find to find another way to the venue. As they are driving around lost in gang-land they get stuck and witness a brutal murder. The killer wants no witnesses and tries to kill them too. The four pals get away the first time, but the killer is soon back on their tail again while they are trying to find help in the middle of nowhere.",Action
427,Last Action Hero,"Young Danny Madigan is a big fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the new Jack Slater film, Danny is transported into Slater's world, where the good guys always win. One of Slater's enemies, Benedict the hitman, gets hold of the ticket and ends up in Danny's world, where he realises that if he can kill Schwarzenegger, Slater will be no more. Slater and Danny must travel back and stop him.",Action
428,Life with Mikey,"Michael Chapman was once a child TV star. But when he grew up, he couldn't get work. So he and his brother, Ed start their own talent agency that specializes in child acts. They can't seem ...",Comedy
429,Lightning Jack,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last heist.",Comedy
431,Made in America,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.",Comedy
434,Manhattan Murder Mystery,"Larry and Carol are fairly normal New Yorkers who have sent their son off to college. They meet an elderly couple down the hall and later in the week find that the wife has suddenly died. Carol becomes suspicious of Paul who seems to be too cheerful and too ready to move on. She begins her investigation. Larry insists she is becoming too fixated on their neighbor as all of the irregularities seem to have simple non-homicidal explanations. Ted, a recently divorced friend helps her investigation and Larry begins to become jealous of their relationship and agrees to help her.",Comedy
436,Executive Decision,"Terrorists take over a 747 bound from Athens to Washington D.C., supposedly to effect the release of their leader. Intelligence expert David Grant suspects another reason and convinces the military that the 'plane should not be allowed to enter U.S. airspace. An assault mission is devised, using a specially equipped 'plane designed for mid-air crew transfers, and Grant finds himself aboard the 747 with a team of military anti-terrorists who have to defuse a bomb and overpower the terrorists.",Action
437,What Happened Was...,"This darkly humorous film explores the personal psychic landscape of two lonely New Yorkers. Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner ...",Comedy
438,Much Ado About Nothing,"Young lovers Hero and Claudio are to be married in one week. To pass the time, they conspire with Don Pedro to set a ""lover's trap"" for Benedick, an arrogant confirmed bachelor, and Beatrice, his favorite sparring partner. Meanwhile, the evil Don Jon conspires to break up the wedding by accusing Hero of infidelity. In the end, though, it all turns out to be ""much ado about nothing.""",Comedy
440,Mr. Wonderful,"Electrician Gus gets the chance to fulfill a childhood dream by buying an old bowling-alley with some of his friends. Unfortunately, due to the alimony payments he has to make to his ...",Comedy
441,Mrs. Doubtfire,"Eccentric actor Daniel Hillard is an amusing and caring father. But after a disastrous birthday party for his son, Daniel's wife Miranda draws the line and files a divorce. He can see his three children only once a week which doesn't sit well with him. Daniel also holds a job at a TV studio as a shipping clerk under the recommendation of his liason. But when Miranda puts out an ad for a housekeeper, Daniel takes it upon himself to make a disguise as a Scottish lady named Mrs Doubtfire. And Daniel must also deal with Miranda's new boyfriend Stu Dunemyer.",Comedy
442,Naked,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",Comedy
443,The Next Karate Kid,"During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path.",Action
444,No Escape,"Robbins is sentenced to prison for the assassination of his general officer, a prison you leave only when you die. Since nobody ever leaves the prison, nobody knows what the prison is like. The prison manager realizes this and buys himself an island playground called ""Absolom,"" where the worst prisoners are free to create an isolated barbaric society, and where the strongest men rule...a living hell. Robbins is sent to Absolom after he almost kills the prison manager.",Action
451,The Program,A college football coach is told by his bosses that unless they do better this season it could be his last. To bolster the team he recruits a talented wide receiver. A female student is assigned to help him assimilate with college life and that includes doing his studies because he spent his whole life just playing football. And he finds himself attracted to her and she already has a boyfriend who is also on the team but he might be more concern about losing his position than losing her to him. And the coach has to deal with his other players' situations like the team's quarterback who deals with his father being distant by drinking and it eventually gets him in trouble. And one of the team's defensive players is obviously using steroids but passes the drug tests.,Action
453,Radioland Murders,"In 1939, WBN, a fourth radio network, is about to take to America's airwaves. As if the confusion of the premiere night wasn't enough, Penny Henderson, the owner's secretary, must deal with an unhappy sponsor, an overbearing boss and a soon-to-be ex-husband who desperately wants her back. As the broadcast begins, a mysterious voice breaks the broadcast and suddenly members of the cast turn up dead. It's up to her husband Roger, to find out whodunit as the police chase him through the halls of WBN.",Comedy
454,The Ref,"Denis Leary plays an unfortunate cat burglar, who is abandonded by his partner in the middle of a heist, and is forced to take an irritating Connecticut couple (Kevin Spacey, Judy Davis) hostage. He soon finds that he took more than he bargained for when the couple's blackmailing son and despicable in-laws step into the picture. Before long they're driving him nuts with their petty bickering and family problems. The only way for him to survive is to be their referee and resolve their differences, before he can be nabbed by the police.",Comedy
456,Renaissance Man,A down-on-his-luck businessman desperately takes the only job offered - a teacher in the U.S. Army. His mission: keep a ragtag bunch of underachieving misfits from flunking out of basic training! Be on alert as this unlikely new teacher and his underdog class unexpectedly inspire each other to be all they can be!,Comedy
457,Rising Sun,"At the offices of a Japanese corporation, during a party, a woman, who's evidently a professional mistress, is found dead, apparently after some rough sex. A police detective, Web Smith is called in to investigate but before getting there, he gets a call from someone who instructs him to pick up John Connor, a former police Captain and expert on Japanese affairs. When they arrive there Web thinks that everything is obvious but Connor tells him that there's a lot more going on.",Action
458,The Road to Wellville,"A story about the ins and outs of one unusual health facility in the early 20th century, run by the eccentric Dr. Kellogg.",Comedy
459,RoboCop 3,"The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, Robocop must decide where his loyalties lie.",Action
461,Romeo Is Bleeding,"Detective Jack Grimaldi (Gary Oldman) takes us through his shattered life after encountering the most deadly (and deceptive) criminal he has ever had to deal with. It doesn't help that Grimladi is playing both sides against the middle. When he encounters Demarkov (Lena Olin) he thinks he can play her as he has all the other women in his life...including his wife. But Demarkov knows Jack better than he knows himself. She plays him mercilessly, all the while threatening to kill him when she tires of the game.",Action
467,The Scout,"Al Percolo is a major league baseball scout sent to scout in Mexico as a punishment. However, he eventually stumbles across Steve Nebraska, a young American who can pitch AND hit better than anyone else can do either. He signs Steve and returns home in glory. It soon becomes obvious, though, that Steve is immature and possibly unstable, and Al turns to psychiatrist Doctor H. Aaron, whom he picks for her name, for help.",Comedy
470,Serial Mom,"A picture perfect middle class family is shocked when they find out that one of their neighbors is receiving obscene phone calls. The mom takes slights against her family very personally, and it turns out she is indeed the one harassing the neighbor. As other slights befall her beloved family, the body count begins to increase, and the police get closer to the truth, threatening the family's picture perfect world.",Comedy
471,The Shadow,"Based on the 1930's pulp fiction and radio drama series, the film pits the hero against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",Action
473,Short Cuts,"While helicopters overhead spray against a Medfly infestation a group of Los Angeles lives intersect, some casually, some to more lasting effect. Whilst they go out to concerts and jazz clubs and even have their pools cleaned, they also lie, drink, and cheat. Death itself seems never to be far away, even on a fishing trip.",Comedy
475,Sirens,"A young reverend and his wife are on the way from England to Australia to minister to their flock. The bishop asks him to visit an eccentric artist prone to sexual depictions and requests that he voluntarily withdraw a controversial work call ""Crucified Venus"" from his show. The minister, who considers himself a progressive, is shocked at the amoral atmosphere surrounding the painter, his wife, and the three models living at his estate. The minister's wife is troubled also, and has to deal with latent sexual urges while trying to remain loyal to her husband.",Comedy
476,Six Degrees of Separation,"New Yorkers Ouisa and Flan Kittredge are upper class private art dealers, pretentious but compassionate. Their prized possession is a double sided Kandinsky, one side that represents control, the other side chaos. They relay a story to their friends and acquaintances that over time becomes legendary. It is their encounter with a young black man who they had never met or heard of but who comes stumbling upon their front door one evening as they are courting an important investor, Geoffrey Miller, who could make them wealthy beyond what they could have dreamed. That black man is Paul Poitier, who has just arrived in the city, was just mugged outside their building and is sporting a minor knife wound to the abdomen. He is a friend of the Kittredge's children, who are attending Harvard, but more importantly is the son of actor/director Sidney Poitier. Tomorrow, Paul is meeting up with his father who is in town directing a movie of ""Cats"". Beyond the attraction of talking Paul into getting them roles in the movie, Ouisa, Flan and Geoffrey all end up being captivated by the charm, charisma, pedigree and eloquence of Paul, who the Kittredges, after tending to his wounds, invite to stay the night. Their encounter with Paul ends up being an all too familiar story, which they will soon learn, and leads the Kittredges on a search for Paul after he leaves their abode the next morning. In that search, Ouisa, in particular, begins to view critically their life and just how much compassion they really have.",Comedy
477,Sleepless in Seattle,"After his wife Maggie passes away, Sam Baldwin and his 8-year-old son Jonah relocate from Chicago to Seattle to escape the grief associated with Maggie's death. Eighteen months later Sam is still grieving and can't sleep. Although Jonah misses his mother, he wants his father to get a new wife despite Sam having not even contemplated dating again. On Christmas Eve, Sam (on Jonah's initiative) ends up pouring his heart out on a national radio talk show about his magical and perfect marriage to Maggie, and how much he still misses her. Among the many women who hear Sam's story and fall in love with him solely because of it is Annie Reed, a Baltimore-based newspaper writer. Annie's infatuation with Sam's story and by association Sam himself is despite being already engaged. But Annie's relationship with her straight-laced fiancé Walter is unlike her dream love life in the movie An Affair to Remember (1957). She even writes to Sam proposing they meet atop the Empire State Building on Valentine's Day. Back in Seattle, Sam has received hundreds of letters from women wanting to meet him. Jonah is excited by one letter in particular from Baltimore and will do whatever he needs to to get his father and Annie together. However, old fashioned Sam wants his future love life to be based on meeting a woman the traditional way and he, in turn, becomes infatuated with an unknown woman he spots a few times in Seattle. Will magic happen twice in Sam's life, and if so will it be with this unknown woman or Annie?",Comedy
479,Son in Law,"Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town.",Comedy
480,So I Married an Axe Murderer,"Charlie, a poet, hasn't had much luck with women, but then he meets Harriet, the girl of his dreams.. or is it his nightmares. Charlie begins to suspect that Harriet is Ms X, a woman who marries then kills her husbands.",Comedy
481,Striking Distance,"A serial killer is back in Pittsburgh to torment the former homicide detective who was on his trail years before. Tom Hardy, who has been relegated to water-way duty, along with new partner Jo Christman, navigate the three rivers looking for clues and discovering bodies. This time the victims are women Tom knows, he must find the killer to prove his innocence.",Action
483,Surviving the Game,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey.",Action
484,Terminal Velocity,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,Action
486,Threesome,"Eddy and Stuart share two-thirds of a dormitory suite. Due to bureaucratic error, a woman named Alex is added to their room. At first, relations among the three are tense. Soon, however, Alex falls for Eddy, and Stuart lusts after Alex. Eddy comes to realize not only that he's gay, but that he's attracted to Stuart. The three pledge not to act on any romantic (or lustful) feelings with each other, and become close friends . . . while bottling up a lot of sexual tension.",Comedy
488,The Three Musketeers,"The three best of the disbanded Musketeers - Athos, Porthos, and Aramis - join a young hotheaded would-be-Musketeer, D'Artagnan, to stop the Cardinal Richelieu's evil plot: to form an alliance with enemy England by way of the mysterious Milady. Rochefort, the Cardinal's right-hand man, announces the official disbanding of the King's Musketeers. Three, however, refuse to throw down their swords - Athos the fighter and drinker, Porthos the pirate and lover, and Aramis the priest and poet. Arriving in Paris to join the Musketeers, D'Artagnan uncovers the Cardinal's plans, and the four set out on a mission to protect King and Country.",Action
489,Tombstone,"After success cleaning up Dodge City, Wyatt Earp moves to Tombstone, Arizona, and wishes to get rich in obscurity. He meets his brothers there, as well as his old friend Doc Holliday. A band of outlaws that call themselves The Cowboys are causing problems in the region with various acts of random violence, and inevitably come into confrontation with Holliday and the Earps, which leads to a shoot-out at the OK Corral.",Action
494,"Paris, France","Lucy (Leslie Hope), her husband Michael (Victor Ertmanis), and their business partner William (Dan Left) are the owners of a small publishing company in Toronto. The stability of their lives are thrown into an emotional maelstrom with the arrival of Sloan (Peter Outerbrige), a former boxer-turned-writer whose first book (based on a serial killer) is about to be published by their company. Sloan gets in over his head when he embarks on a steamy affair with the sexually ravenous and frustrated Lucy, who longs to re-create her S&M-filled days in Paris gone by. But Sloan soon embarks on another affair of his own with the openly gay William which leads to sexual confusion for the writer. All in the while, Lucy's befuddled husband, Michael, slowly goes crazy over learning of his wife and business partner's dalliance with his client until he decides to join in on their bed-jumping as well.",Comedy
496,Welcome to the Dollhouse,"Seventh-grade is no fun. Especially for Dawn Weiner when everyone at school calls you 'Dog-Face' or 'Wiener-Dog.' Not to mention if your older brother is 'King of the Nerds' and your younger sister is a cutesy ballerina who gets you in trouble but is your parents' favorite. And that's just the beginning--her life seems to be falling apart when she faces rejection from the older guy in her brother's band that she has a crush on, her parents want to tear down her 'Special People's Club' clubhouse, and her sister is abducted....",Comedy
